date,rain,obs_flow,et,temp,,,
1967-02-10,0.03,,1.45,1.2,,,
1967-02-11,0,,1.5,-1.1,,,
1967-02-12,0,,1.69,-4.7,,,
1967-02-13,0,,1.57,-3.5,,,
1967-02-14,0,,1.57,-2.4,,,
1967-02-15,0.04,,1.26,-4.3,,,
1967-02-16,0.07,,1.75,-0.1,,,
1967-02-17,0,,1.85,-1,,,
1967-02-18,0,,1.97,-0.5,,,
1967-02-19,0,,2.28,1.7,,,
1967-02-20,0,,1.7,4.1,,,
1967-02-21,2.99,,0.97,7.1,,,
1967-02-22,10.68,,1.35,10.6,,,
1967-02-23,0.44,,2.48,8.6,,,
1967-02-24,0.48,,0.94,3.7,,,
1967-02-25,0,,1.98,3,,,
1967-02-26,0,,2.02,1.5,,,
1967-02-27,0,,2.09,1.9,,,
1967-02-28,0,,1.94,1.6,,,
1967-03-01,0,,2.3,4.7,,,
1967-03-02,0,,2.72,8.4,,,
1967-03-03,8.52,,2.71,10,,,
1967-03-04,0.02,,2.05,8.6,,,
1967-03-05,0,,1.96,1.6,,,
1967-03-06,0,,2.24,0.7,,,
1967-03-07,0,,1.95,1.5,,,
1967-03-08,0,,2.08,3.2,,,
1967-03-09,0,,2.47,6.8,,,
1967-03-10,0,,1.74,5.9,,,
1967-03-11,0,,2.16,5.9,,,
1967-03-12,0,,2.61,8.9,,,
1967-03-13,0,,2.19,8.2,,,
1967-03-14,0,,2.19,8.6,,,
1967-03-15,0,,2.44,11.8,,,
1967-03-16,0,,1.98,9.2,,,
1967-03-17,0.53,,1.63,7.5,,,
1967-03-18,0.2,,2.16,7.6,,,
1967-03-19,0,,2.7,8.4,,,
1967-03-20,0.55,,3.2,10.4,,,
1967-03-21,1.98,,1.21,9.1,,,
1967-03-22,0.01,,2.42,5.7,,,
1967-03-23,0,,2.5,2.4,,,
1967-03-24,0,,3.01,4.8,,,
1967-03-25,0,,3.63,9.9,,,
1967-03-26,16.45,,1.29,7.8,,,
1967-03-27,0.34,,2.86,12.7,,,
1967-03-28,0,,3.03,9.5,,,
1967-03-29,0,,3.54,11.2,,,
1967-03-30,6.98,,1.29,9.4,,,
1967-03-31,0.73,,3.21,12.8,,,
1967-04-01,0.04,,2.92,12.8,,,
1967-04-02,0.13,,1.6,12.1,,,
1967-04-03,0,,2.27,14.6,,,
1967-04-04,0,,4.34,9.2,,,
1967-04-05,0,,4,9.4,,,
1967-04-06,0,,3.45,12.5,,,
1967-04-07,8.55,,2.64,10.1,,,
1967-04-08,22.21,,1.54,11.1,,,
1967-04-09,1.79,,1.51,11.5,,,
1967-04-10,6.99,,1.36,9.7,,,
1967-04-11,29.02,,2.52,9,,,
1967-04-12,0,,2.87,8.7,,,
1967-04-13,0,,3.07,10.4,,,
1967-04-14,0,,3.29,10.6,,,
1967-04-15,0.12,,3.17,9,,,
1967-04-16,0,,1.86,7.6,,,
1967-04-17,0,,2.38,8.3,,,
1967-04-18,11.4,,1.84,10.4,,,
1967-04-19,16.22,,1.42,9.9,,,
1967-04-20,1.7,,3.85,13.2,,,
1967-04-21,0,,4.77,16.1,,,
1967-04-22,0,,3.41,13.2,,,
1967-04-23,0.44,,3.43,14.8,,,
1967-04-24,0.07,,3.8,13,,,
1967-04-25,0,,4.02,14.2,,,
1967-04-26,3.46,,4.03,14.1,,,
1967-04-27,21.4,,2.29,15.9,,,
1967-04-28,0.16,,2.92,18.1,,,
1967-04-29,0.45,,4.52,18.9,,,
1967-04-30,5.92,,2.67,20.3,,,
1967-05-01,0.3,,4.41,18.8,,,
1967-05-02,0,,5.3,19.1,,,
1967-05-03,0,,4.4,15.6,,,
1967-05-04,0,,4.66,16.3,,,
1967-05-05,0,,5.31,19.9,,,
1967-05-06,0.28,,4.03,16.9,,,
1967-05-07,0,,3.31,16.1,,,
1967-05-08,3.69,,2.85,15.4,,,
1967-05-09,0.05,,1.89,13.2,,,
1967-05-10,0,,4.09,15.9,,,
1967-05-11,0,,6.07,22.4,,,
1967-05-12,0,,4.92,22.3,,,
1967-05-13,0,,5.44,21.5,,,
1967-05-14,0,,5.09,16.2,,,
1967-05-15,0,,4.22,13.6,,,
1967-05-16,0,,5.81,19.5,,,
1967-05-17,0.2,,4.79,18.4,,,
1967-05-18,0,,5.54,22.6,,,
1967-05-19,0,,3.5,17.5,,,
1967-05-20,0,,3.95,15.3,,,
1967-05-21,0,,2.97,14.8,,,
1967-05-22,0.24,,2.46,18.3,,,
1967-05-23,0,,4.21,20.4,,,
1967-05-24,0,,5.02,23.4,,,
1967-05-25,22.73,,4.96,22.5,,,
1967-05-26,4.35,,3.74,21.5,,,
1967-05-27,0.01,,5.22,22.3,,,
1967-05-28,0.29,,4.18,19.3,,,
1967-05-29,0,,3.33,17.6,,,
1967-05-30,0,,4.86,21.5,,,
1967-05-31,0,,5.9,24.1,,,
1967-06-01,0,,5.52,22.3,,,
1967-06-02,0,,4.46,21,,,
1967-06-03,0,,4.9,22.4,,,
1967-06-04,4.01,,5.01,22.7,,,
1967-06-05,0.21,,5.07,21.1,,,
1967-06-06,0,,3.77,19.9,,,
1967-06-07,0,,5.11,18.4,,,
1967-06-08,1.49,,2.8,16.5,,,
1967-06-09,3.52,,2.53,17,,,
1967-06-10,0.07,,4.08,18.8,,,
1967-06-11,0,,4.82,23.5,,,
1967-06-12,0,,4.88,24.8,,,
1967-06-13,0,,5.73,22.9,,,
1967-06-14,0,,5.2,21.3,,,
1967-06-15,0,,5.34,22.4,,,
1967-06-16,0.13,,2.53,21.3,,,
1967-06-17,0.78,,4.67,22.4,,,
1967-06-18,2.99,,4.31,21.9,,,
1967-06-19,12.51,,2.98,20.4,,,
1967-06-20,10.11,,2.46,20.2,,,
1967-06-21,1.6,,3.28,20.6,,,
1967-06-22,0.12,,2.7,21.1,,,
1967-06-23,0.02,,5.27,23.6,,,
1967-06-24,0.58,,4.67,26,,,
1967-06-25,11.03,,2.47,20,,,
1967-06-26,0.15,,4.27,21.1,,,
1967-06-27,65.08,,2.27,20.5,,,
1967-06-28,13.63,,2.09,19.8,,,
1967-06-29,5.31,,4.41,20,,,
1967-06-30,0.77,,3.26,22.7,,,
1967-07-01,4.81,,2.33,20.5,,,
1967-07-02,32.84,,3.7,24.2,,,
1967-07-03,3.65,,3.78,21.9,,,
1967-07-04,0.38,,2.41,18.9,,,
1967-07-05,20.76,,2.27,18.3,,,
1967-07-06,4.2,,2.45,18.4,,,
1967-07-07,0,,2.77,20.1,,,
1967-07-08,0,,2.22,19.4,,,
1967-07-09,0,,4.27,21.1,,,
1967-07-10,1.81,,3.83,22,,,
1967-07-11,1.01,,4.13,24.2,,,
1967-07-12,38.26,,2.36,24,,,
1967-07-13,1.46,,3.5,26.6,,,
1967-07-14,0.54,,3.62,28.2,,,
1967-07-15,0.01,,5.22,29,,,
1967-07-16,0.01,,5.32,29.5,,,
